,video,method,metric_name,metric_value
15,horsejump-low,Our Result,LPIPS,0.03071236951
16,schoolgirls,Our Result,LPIPS,0.113160652
17,car-turn,Our Result,LPIPS,0.02895851323
18,motocross-jump,Our Result,LPIPS,0.05669603345
19,car-shadow,Our Result,LPIPS,0.01847726697
20,tennis,Our Result,LPIPS,0.02034453345
21,crossing,Our Result,LPIPS,0.09651848406
22,bus,Our Result,LPIPS,0.03392723659
23,motocross-bumps,Our Result,LPIPS,0.05037704733
24,train,Our Result,LPIPS,0.02786901393
25,camel,Our Result,LPIPS,0.02636268252
26,breakdance,Our Result,LPIPS,0.1072577628
27,mallard-fly,Our Result,LPIPS,0.0461885292
28,upside-down,Our Result,LPIPS,0.04843860542
29,classic-car,Our Result,LPIPS,0.05338922485
30,gold-fish,Our Result,LPIPS,0.03919781847
31,bike-packing,Our Result,LPIPS,0.06792686607
32,paragliding-launch,Our Result,LPIPS,0.02259276318
33,bmx-trees,Our Result,LPIPS,0.02579118599
34,flamingo,Our Result,LPIPS,0.03658964256
35,tractor-sand,Our Result,LPIPS,0.0225970358
36,dogs-jump,Our Result,LPIPS,0.04789771611
37,horsejump-high,Our Result,LPIPS,0.02331602538
38,dog-agility,Our Result,LPIPS,0.1006624799
39,disc-jockey,Our Result,LPIPS,0.03260734924
40,hike,Our Result,LPIPS,0.03044993891
41,miami-surf,Our Result,LPIPS,0.03222572927
42,dance-jump,Our Result,LPIPS,0.04155402553
43,lindy-hop,Our Result,LPIPS,0.06023979292
44,tuk-tuk,Our Result,LPIPS,0.05850219563
45,judo,Our Result,LPIPS,0.08659266168
46,blackswan,Our Result,LPIPS,0.03761973465
47,boat,Our Result,LPIPS,0.04106218934
48,car-roundabout,Our Result,LPIPS,0.02606057562
49,loading,Our Result,LPIPS,0.02920877885
50,night-race,Our Result,LPIPS,0.03662313847
51,dancing,Our Result,LPIPS,0.08134442021
52,paragliding,Our Result,LPIPS,0.01970537337
53,kite-walk,Our Result,LPIPS,0.0338677108
54,libby,Our Result,LPIPS,0.02175331068
55,drift-turn,Our Result,LPIPS,0.04603442243
56,rollerblade,Our Result,LPIPS,0.06742595757
57,kid-football,Our Result,LPIPS,0.06728155143
58,drift-chicane,Our Result,LPIPS,0.1196699573
59,lucia,Our Result,LPIPS,0.02200049504
60,color-run,Our Result,LPIPS,0.04544948462
61,lab-coat,Our Result,LPIPS,0.04178375966
62,hockey,Our Result,LPIPS,0.02759207402
63,elephant,Our Result,LPIPS,0.02878603903
64,dog-gooses,Our Result,LPIPS,0.04431417762
65,planes-water,Our Result,LPIPS,0.107890847
66,india,Our Result,LPIPS,0.03473097878
67,dog,Our Result,LPIPS,0.06279297571
68,swing,Our Result,LPIPS,0.02426158351
69,kite-surf,Our Result,LPIPS,0.04205491809
70,mbike-trick,Our Result,LPIPS,0.0455431606
71,pigs,Our Result,LPIPS,0.04445161477
72,breakdance-flare,Our Result,LPIPS,0.06283751281
1,boxing-fisheye,Lee et al.,LPIPS,0.08954660691
2,longboard,Lee et al.,LPIPS,0.1309783025
3,lady-running,Lee et al.,LPIPS,0.09310394573
4,cat-girl,Lee et al.,LPIPS,0.1167197364
5,walking,Lee et al.,LPIPS,0.1030703819
6,scooter-black,Lee et al.,LPIPS,0.1059215696
7,dogs-scale,Lee et al.,LPIPS,0.09087919223
8,rallye,Lee et al.,LPIPS,0.1389643378
9,motorbike,Lee et al.,LPIPS,0.140310324
10,drift-straight,Lee et al.,LPIPS,0.08582694603
11,mallard-water,Lee et al.,LPIPS,0.1281803929
12,scooter-board,Lee et al.,LPIPS,0.07810831903
13,bear,Lee et al.,LPIPS,0.1409479987
14,varanus-cage,Lee et al.,LPIPS,0.1125792095
15,horsejump-low,Lee et al.,LPIPS,0.1551136657
16,schoolgirls,Lee et al.,LPIPS,0.1639555565
17,car-turn,Lee et al.,LPIPS,0.1528226628
18,motocross-jump,Lee et al.,LPIPS,0.09183498756
19,car-shadow,Lee et al.,LPIPS,0.1182439131
20,tennis,Lee et al.,LPIPS,0.1097306333
21,crossing,Lee et al.,LPIPS,0.138140015
22,bus,Lee et al.,LPIPS,0.1218810879
23,motocross-bumps,Lee et al.,LPIPS,0.1242233846
24,train,Lee et al.,LPIPS,0.1348758844
25,camel,Lee et al.,LPIPS,0.1344090874
26,breakdance,Lee et al.,LPIPS,0.1350095281
27,mallard-fly,Lee et al.,LPIPS,0.1325974459
28,upside-down,Lee et al.,LPIPS,0.09708511989
29,classic-car,Lee et al.,LPIPS,0.1038160584
30,gold-fish,Lee et al.,LPIPS,0.1028063015
31,bike-packing,Lee et al.,LPIPS,0.1193010334
32,paragliding-launch,Lee et al.,LPIPS,0.1603799084
33,bmx-trees,Lee et al.,LPIPS,0.08915926
34,flamingo,Lee et al.,LPIPS,0.1260916234
35,tractor-sand,Lee et al.,LPIPS,0.1185910727
36,dogs-jump,Lee et al.,LPIPS,0.1156706662
37,horsejump-high,Lee et al.,LPIPS,0.1040904154
38,dog-agility,Lee et al.,LPIPS,0.1109849678
39,disc-jockey,Lee et al.,LPIPS,0.04617280719
40,hike,Lee et al.,LPIPS,0.1484578153
41,miami-surf,Lee et al.,LPIPS,0.06230453385
42,dance-jump,Lee et al.,LPIPS,0.1518704087
43,lindy-hop,Lee et al.,LPIPS,0.1086393031
44,tuk-tuk,Lee et al.,LPIPS,0.1015770012
45,judo,Lee et al.,LPIPS,0.08525473252
46,blackswan,Lee et al.,LPIPS,0.1256264118
47,boat,Lee et al.,LPIPS,0.1054398209
48,car-roundabout,Lee et al.,LPIPS,0.09371779737
49,loading,Lee et al.,LPIPS,0.08428903879
50,night-race,Lee et al.,LPIPS,0.07436598177
51,dancing,Lee et al.,LPIPS,0.1289633522
52,paragliding,Lee et al.,LPIPS,0.1563112712
53,kite-walk,Lee et al.,LPIPS,0.1122832037
54,libby,Lee et al.,LPIPS,0.1428278317
55,drift-turn,Lee et al.,LPIPS,0.1334878236
56,rollerblade,Lee et al.,LPIPS,0.1452948555
57,kid-football,Lee et al.,LPIPS,0.1065967776
58,drift-chicane,Lee et al.,LPIPS,0.1132807533
59,lucia,Lee et al.,LPIPS,0.1399629859
60,color-run,Lee et al.,LPIPS,0.06220847432
61,lab-coat,Lee et al.,LPIPS,0.1221985636
62,hockey,Lee et al.,LPIPS,0.1135519477
63,elephant,Lee et al.,LPIPS,0.1269638717
64,dog-gooses,Lee et al.,LPIPS,0.1351176933
65,planes-water,Lee et al.,LPIPS,0.07394224881
66,india,Lee et al.,LPIPS,0.1047647761
67,dog,Lee et al.,LPIPS,0.1358958869
68,swing,Lee et al.,LPIPS,0.1406034326
69,kite-surf,Lee et al.,LPIPS,0.1047577336
70,mbike-trick,Lee et al.,LPIPS,0.1098019579
71,pigs,Lee et al.,LPIPS,0.1395527582
72,breakdance-flare,Lee et al.,LPIPS,0.1797436122
1,boxing-fisheye,Huang et al.,LPIPS,0.05772550071
2,longboard,Huang et al.,LPIPS,0.09411993414
3,lady-running,Huang et al.,LPIPS,0.05487654062
4,cat-girl,Huang et al.,LPIPS,0.07615810016
5,walking,Huang et al.,LPIPS,0.1086825682
6,scooter-black,Huang et al.,LPIPS,0.08876764883
7,dogs-scale,Huang et al.,LPIPS,0.09293071043
8,rallye,Huang et al.,LPIPS,0.132675147
9,motorbike,Huang et al.,LPIPS,0.08490437133
10,drift-straight,Huang et al.,LPIPS,0.08690199167
11,mallard-water,Huang et al.,LPIPS,0.1194831225
12,scooter-board,Huang et al.,LPIPS,0.1110143538
13,bear,Huang et al.,LPIPS,0.03946186523
14,varanus-cage,Huang et al.,LPIPS,0.08131845376
15,horsejump-low,Huang et al.,LPIPS,0.05772189089
16,schoolgirls,Huang et al.,LPIPS,0.1492907222
17,car-turn,Huang et al.,LPIPS,0.06124057516
18,motocross-jump,Huang et al.,LPIPS,0.12796712
19,car-shadow,Huang et al.,LPIPS,0.06770842434
20,tennis,Huang et al.,LPIPS,0.06913115687
21,crossing,Huang et al.,LPIPS,0.1601450244
22,bus,Huang et al.,LPIPS,0.05978122368
23,motocross-bumps,Huang et al.,LPIPS,0.08126248207
24,train,Huang et al.,LPIPS,0.03362353356
25,camel,Huang et al.,LPIPS,0.03215632869
26,breakdance,Huang et al.,LPIPS,0.1505126066
27,mallard-fly,Huang et al.,LPIPS,0.09691208497
28,upside-down,Huang et al.,LPIPS,0.09935352147
29,classic-car,Huang et al.,LPIPS,0.1265749578
30,gold-fish,Huang et al.,LPIPS,0.07161562287
31,bike-packing,Huang et al.,LPIPS,0.1157765933
32,paragliding-launch,Huang et al.,LPIPS,0.05293697281
33,bmx-trees,Huang et al.,LPIPS,0.04442379031
34,flamingo,Huang et al.,LPIPS,0.05461576165
35,tractor-sand,Huang et al.,LPIPS,0.06958618327
36,dogs-jump,Huang et al.,LPIPS,0.07983183197
37,horsejump-high,Huang et al.,LPIPS,0.05551592866
38,dog-agility,Huang et al.,LPIPS,0.1365518784
39,disc-jockey,Huang et al.,LPIPS,0.102310756
40,hike,Huang et al.,LPIPS,0.03210602545
41,miami-surf,Huang et al.,LPIPS,0.06525425038
42,dance-jump,Huang et al.,LPIPS,0.05757446234
43,lindy-hop,Huang et al.,LPIPS,0.08202681213
44,tuk-tuk,Huang et al.,LPIPS,0.1028376477
45,judo,Huang et al.,LPIPS,0.09535240964
46,blackswan,Huang et al.,LPIPS,0.05800480365
47,boat,Huang et al.,LPIPS,0.06442568477
48,car-roundabout,Huang et al.,LPIPS,0.05717654934
49,loading,Huang et al.,LPIPS,0.05134064188
50,night-race,Huang et al.,LPIPS,0.07462716577
51,dancing,Huang et al.,LPIPS,0.1187035228
52,paragliding,Huang et al.,LPIPS,0.04283676625
53,kite-walk,Huang et al.,LPIPS,0.05007978562
54,libby,Huang et al.,LPIPS,0.05745146733
55,drift-turn,Huang et al.,LPIPS,0.1189554146
56,rollerblade,Huang et al.,LPIPS,0.1078466757
57,kid-football,Huang et al.,LPIPS,0.1227071424
58,drift-chicane,Huang et al.,LPIPS,0.1157326743
59,lucia,Huang et al.,LPIPS,0.03094554649
60,color-run,Huang et al.,LPIPS,0.08471979383
61,lab-coat,Huang et al.,LPIPS,0.07838543802
62,hockey,Huang et al.,LPIPS,0.06660353862
63,elephant,Huang et al.,LPIPS,0.04501884211
64,dog-gooses,Huang et al.,LPIPS,0.05641028103
65,planes-water,Huang et al.,LPIPS,0.09378275648
66,india,Huang et al.,LPIPS,0.06438193036
67,dog,Huang et al.,LPIPS,0.09364381927
68,swing,Huang et al.,LPIPS,0.05421105072
69,kite-surf,Huang et al.,LPIPS,0.07897384418
70,mbike-trick,Huang et al.,LPIPS,0.08628414368
71,pigs,Huang et al.,LPIPS,0.06568036582
72,breakdance-flare,Huang et al.,LPIPS,0.07862040271
1,boxing-fisheye,Xu et al.,LPIPS,0.08303841335
2,longboard,Xu et al.,LPIPS,0.1037678204
3,lady-running,Xu et al.,LPIPS,0.09400265806
4,cat-girl,Xu et al.,LPIPS,0.07249930274
5,walking,Xu et al.,LPIPS,0.1011280008
6,scooter-black,Xu et al.,LPIPS,0.08266181808
7,dogs-scale,Xu et al.,LPIPS,0.1150728312
8,rallye,Xu et al.,LPIPS,0.149142575
9,motorbike,Xu et al.,LPIPS,0.06064651025
10,drift-straight,Xu et al.,LPIPS,0.07155636481
11,mallard-water,Xu et al.,LPIPS,0.1362644247
12,scooter-board,Xu et al.,LPIPS,0.1009112967
13,bear,Xu et al.,LPIPS,0.05214969432
14,varanus-cage,Xu et al.,LPIPS,0.07152973694
15,horsejump-low,Xu et al.,LPIPS,0.04960693515
16,schoolgirls,Xu et al.,LPIPS,0.12628248
17,car-turn,Xu et al.,LPIPS,0.07214593386
18,motocross-jump,Xu et al.,LPIPS,0.08553993261
19,car-shadow,Xu et al.,LPIPS,0.06737610159
20,tennis,Xu et al.,LPIPS,0.05064843735
21,crossing,Xu et al.,LPIPS,0.0969821611
22,bus,Xu et al.,LPIPS,0.05553559816
23,motocross-bumps,Xu et al.,LPIPS,0.05745665552
24,train,Xu et al.,LPIPS,0.04563414401
25,camel,Xu et al.,LPIPS,0.04755568805
26,breakdance,Xu et al.,LPIPS,0.1097874153
27,mallard-fly,Xu et al.,LPIPS,0.07100268952
28,upside-down,Xu et al.,LPIPS,0.09450589724
29,classic-car,Xu et al.,LPIPS,0.1040452594
30,gold-fish,Xu et al.,LPIPS,0.08449892803
31,bike-packing,Xu et al.,LPIPS,0.1000067773
32,paragliding-launch,Xu et al.,LPIPS,0.03662021267
33,bmx-trees,Xu et al.,LPIPS,0.05555460779
34,flamingo,Xu et al.,LPIPS,0.05732996614
35,tractor-sand,Xu et al.,LPIPS,0.05276144699
36,dogs-jump,Xu et al.,LPIPS,0.07840677007
37,horsejump-high,Xu et al.,LPIPS,0.0510860555
38,dog-agility,Xu et al.,LPIPS,0.1090153407
39,disc-jockey,Xu et al.,LPIPS,0.2022835284
40,hike,Xu et al.,LPIPS,0.03781531806
41,miami-surf,Xu et al.,LPIPS,0.1588294713
42,dance-jump,Xu et al.,LPIPS,0.06472855999
43,lindy-hop,Xu et al.,LPIPS,0.1187776873
44,tuk-tuk,Xu et al.,LPIPS,0.08909035552
45,judo,Xu et al.,LPIPS,0.09903369611
46,blackswan,Xu et al.,LPIPS,0.0590379963
47,boat,Xu et al.,LPIPS,0.0851834991
48,car-roundabout,Xu et al.,LPIPS,0.0497772886
49,loading,Xu et al.,LPIPS,0.07391946833
50,night-race,Xu et al.,LPIPS,0.1440961552
51,dancing,Xu et al.,LPIPS,0.1245684456
52,paragliding,Xu et al.,LPIPS,0.03884913156
53,kite-walk,Xu et al.,LPIPS,0.05541504862
54,libby,Xu et al.,LPIPS,0.07740779831
55,drift-turn,Xu et al.,LPIPS,0.07271092019
56,rollerblade,Xu et al.,LPIPS,0.07548476101
57,kid-football,Xu et al.,LPIPS,0.1367530801
58,drift-chicane,Xu et al.,LPIPS,0.1330172426
59,lucia,Xu et al.,LPIPS,0.05131819729
60,color-run,Xu et al.,LPIPS,0.1405729415
61,lab-coat,Xu et al.,LPIPS,0.07639369451
62,hockey,Xu et al.,LPIPS,0.0638602797
63,elephant,Xu et al.,LPIPS,0.04770176667
64,dog-gooses,Xu et al.,LPIPS,0.06005918629
65,planes-water,Xu et al.,LPIPS,0.1552978332
66,india,Xu et al.,LPIPS,0.08601059326
67,dog,Xu et al.,LPIPS,0.0858007365
68,swing,Xu et al.,LPIPS,0.05143113961
69,kite-surf,Xu et al.,LPIPS,0.08196107958
70,mbike-trick,Xu et al.,LPIPS,0.1368224018
71,pigs,Xu et al.,LPIPS,0.07352930859
72,breakdance-flare,Xu et al.,LPIPS,0.07037572622
1,boxing-fisheye,Newson et al.,LPIPS,0.05717871763
2,longboard,Newson et al.,LPIPS,0.09807811558
3,lady-running,Newson et al.,LPIPS,0.0724391107
4,cat-girl,Newson et al.,LPIPS,0.1018094142
5,walking,Newson et al.,LPIPS,0.0992250483
6,scooter-black,Newson et al.,LPIPS,0.05943211622
7,dogs-scale,Newson et al.,LPIPS,0.09839459555
8,rallye,Newson et al.,LPIPS,0.1158359541
9,motorbike,Newson et al.,LPIPS,0.04522195022
10,drift-straight,Newson et al.,LPIPS,0.09750785058
11,mallard-water,Newson et al.,LPIPS,0.10970733
12,scooter-board,Newson et al.,LPIPS,0.09445020774
13,bear,Newson et al.,LPIPS,0.06182556306
14,varanus-cage,Newson et al.,LPIPS,0.09252184251
15,horsejump-low,Newson et al.,LPIPS,0.05964291526
16,schoolgirls,Newson et al.,LPIPS,0.135334551
17,car-turn,Newson et al.,LPIPS,0.05676362009
18,motocross-jump,Newson et al.,LPIPS,0.1030885711
19,car-shadow,Newson et al.,LPIPS,0.0424270975
20,tennis,Newson et al.,LPIPS,0.05513421657
21,crossing,Newson et al.,LPIPS,0.09426085874
22,bus,Newson et al.,LPIPS,0.06510854173
23,motocross-bumps,Newson et al.,LPIPS,0.07536986586
24,train,Newson et al.,LPIPS,0.04424136419
25,camel,Newson et al.,LPIPS,0.05177955842
26,breakdance,Newson et al.,LPIPS,0.1197919182
27,mallard-fly,Newson et al.,LPIPS,0.1043106333
28,upside-down,Newson et al.,LPIPS,0.103540729
29,classic-car,Newson et al.,LPIPS,0.08077777293
30,gold-fish,Newson et al.,LPIPS,0.09437949465
31,bike-packing,Newson et al.,LPIPS,0.1128407508
32,paragliding-launch,Newson et al.,LPIPS,0.06888950416
33,bmx-trees,Newson et al.,LPIPS,0.07392836214
34,flamingo,Newson et al.,LPIPS,0.05947253323
35,tractor-sand,Newson et al.,LPIPS,0.06576003305
36,dogs-jump,Newson et al.,LPIPS,0.07649515156
37,horsejump-high,Newson et al.,LPIPS,0.06639402546
38,dog-agility,Newson et al.,LPIPS,0.1203001255
39,disc-jockey,Newson et al.,LPIPS,0.06508546494
40,hike,Newson et al.,LPIPS,0.04969046064
41,miami-surf,Newson et al.,LPIPS,0.05502423233
42,dance-jump,Newson et al.,LPIPS,0.09328086469
43,lindy-hop,Newson et al.,LPIPS,0.09098660148
44,tuk-tuk,Newson et al.,LPIPS,0.1115687189
45,judo,Newson et al.,LPIPS,0.09068345581
46,blackswan,Newson et al.,LPIPS,0.06525540507
47,boat,Newson et al.,LPIPS,0.04951007552
48,car-roundabout,Newson et al.,LPIPS,0.03916935092
49,loading,Newson et al.,LPIPS,0.08202709265
50,night-race,Newson et al.,LPIPS,0.06431592213
51,dancing,Newson et al.,LPIPS,0.1178862065
52,paragliding,Newson et al.,LPIPS,0.07081503881
53,kite-walk,Newson et al.,LPIPS,0.0559051491
54,libby,Newson et al.,LPIPS,0.05953192766
55,drift-turn,Newson et al.,LPIPS,0.0620070016
56,rollerblade,Newson et al.,LPIPS,0.08829133371
57,kid-football,Newson et al.,LPIPS,0.08462524651
58,drift-chicane,Newson et al.,LPIPS,0.07039719969
59,lucia,Newson et al.,LPIPS,0.04470354236
60,color-run,Newson et al.,LPIPS,0.08564390883
61,lab-coat,Newson et al.,LPIPS,0.09184784889
62,hockey,Newson et al.,LPIPS,0.07756988337
63,elephant,Newson et al.,LPIPS,0.05453672126
64,dog-gooses,Newson et al.,LPIPS,0.06386142512
65,planes-water,Newson et al.,LPIPS,0.08595805367
66,india,Newson et al.,LPIPS,0.08352667546
67,dog,Newson et al.,LPIPS,0.1040774127
68,swing,Newson et al.,LPIPS,0.076372182
69,kite-surf,Newson et al.,LPIPS,0.05952308319
70,mbike-trick,Newson et al.,LPIPS,0.05271458853
71,pigs,Newson et al.,LPIPS,0.06885995368
72,breakdance-flare,Newson et al.,LPIPS,0.09860253604
1,boxing-fisheye,Kim et al.,LPIPS,0.3333948945
2,longboard,Kim et al.,LPIPS,0.3276089346
3,lady-running,Kim et al.,LPIPS,0.1939589481
4,cat-girl,Kim et al.,LPIPS,0.2904503155
5,walking,Kim et al.,LPIPS,0.2620838044
6,scooter-black,Kim et al.,LPIPS,0.3377157224
7,dogs-scale,Kim et al.,LPIPS,0.2820480762
8,rallye,Kim et al.,LPIPS,0.5332954389
9,motorbike,Kim et al.,LPIPS,0.3536702394
10,drift-straight,Kim et al.,LPIPS,0.2388996122
11,mallard-water,Kim et al.,LPIPS,0.3089970473
12,scooter-board,Kim et al.,LPIPS,0.2422616731
13,bear,Kim et al.,LPIPS,0.5743919842
14,varanus-cage,Kim et al.,LPIPS,0.4327280952
15,horsejump-low,Kim et al.,LPIPS,0.5281635333
16,schoolgirls,Kim et al.,LPIPS,0.6969342706
17,car-turn,Kim et al.,LPIPS,0.492331671
18,motocross-jump,Kim et al.,LPIPS,0.2706938264
19,car-shadow,Kim et al.,LPIPS,0.3213362474
20,tennis,Kim et al.,LPIPS,0.2696481248
21,crossing,Kim et al.,LPIPS,0.5795659626
22,bus,Kim et al.,LPIPS,0.3294636856
23,motocross-bumps,Kim et al.,LPIPS,0.282038553
24,train,Kim et al.,LPIPS,0.3695321603
25,camel,Kim et al.,LPIPS,0.5286514519
26,breakdance,Kim et al.,LPIPS,0.4827832209
27,mallard-fly,Kim et al.,LPIPS,0.3363684907
28,upside-down,Kim et al.,LPIPS,0.3419024547
29,classic-car,Kim et al.,LPIPS,0.3059960181
30,gold-fish,Kim et al.,LPIPS,0.2672562278
31,bike-packing,Kim et al.,LPIPS,0.5252544462
32,paragliding-launch,Kim et al.,LPIPS,0.4369148333
33,bmx-trees,Kim et al.,LPIPS,0.310554546
34,flamingo,Kim et al.,LPIPS,0.4167746573
35,tractor-sand,Kim et al.,LPIPS,0.4581492016
36,dogs-jump,Kim et al.,LPIPS,0.4100535391
37,horsejump-high,Kim et al.,LPIPS,0.3605832253
38,dog-agility,Kim et al.,LPIPS,0.387107796
39,disc-jockey,Kim et al.,LPIPS,0.1484590383
40,hike,Kim et al.,LPIPS,0.5556327345
41,miami-surf,Kim et al.,LPIPS,0.1364762501
42,dance-jump,Kim et al.,LPIPS,0.4231566191
43,lindy-hop,Kim et al.,LPIPS,0.3560131247
44,tuk-tuk,Kim et al.,LPIPS,0.3474801815
45,judo,Kim et al.,LPIPS,0.2956222082
46,blackswan,Kim et al.,LPIPS,0.3827134526
47,boat,Kim et al.,LPIPS,0.4175174934
48,car-roundabout,Kim et al.,LPIPS,0.3578940683
49,loading,Kim et al.,LPIPS,0.2787764625
50,night-race,Kim et al.,LPIPS,0.2454620285
51,dancing,Kim et al.,LPIPS,0.3768189549
52,paragliding,Kim et al.,LPIPS,0.4598115534
53,kite-walk,Kim et al.,LPIPS,0.3064510249
54,libby,Kim et al.,LPIPS,0.2648375012
55,drift-turn,Kim et al.,LPIPS,0.3277182723
56,rollerblade,Kim et al.,LPIPS,0.4270205182
57,kid-football,Kim et al.,LPIPS,0.3866923587
58,drift-chicane,Kim et al.,LPIPS,0.4395142281
59,lucia,Kim et al.,LPIPS,0.4996287981
60,color-run,Kim et al.,LPIPS,0.1960188316
61,lab-coat,Kim et al.,LPIPS,0.3895103733
62,hockey,Kim et al.,LPIPS,0.2821849395
63,elephant,Kim et al.,LPIPS,0.4980890529
64,dog-gooses,Kim et al.,LPIPS,0.5769082482
65,planes-water,Kim et al.,LPIPS,0.2410073732
66,india,Kim et al.,LPIPS,0.2329748122
67,dog,Kim et al.,LPIPS,0.353755599
68,swing,Kim et al.,LPIPS,0.3439695455
69,kite-surf,Kim et al.,LPIPS,0.2807279043
70,mbike-trick,Kim et al.,LPIPS,0.4443879282
71,pigs,Kim et al.,LPIPS,0.3951663774
72,breakdance-flare,Kim et al.,LPIPS,0.597607718
1,boxing-fisheye,Oh et al.,LPIPS,0.1290637456
2,longboard,Oh et al.,LPIPS,0.1460575588
3,lady-running,Oh et al.,LPIPS,0.08191161071
4,cat-girl,Oh et al.,LPIPS,0.1340304914
5,walking,Oh et al.,LPIPS,0.1098022796
6,scooter-black,Oh et al.,LPIPS,0.1764472832
7,dogs-scale,Oh et al.,LPIPS,0.1036650986
8,rallye,Oh et al.,LPIPS,0.2456461589
9,motorbike,Oh et al.,LPIPS,0.1348387783
10,drift-straight,Oh et al.,LPIPS,0.1214618715
11,mallard-water,Oh et al.,LPIPS,0.1619262863
12,scooter-board,Oh et al.,LPIPS,0.1067306954
13,bear,Oh et al.,LPIPS,0.2079779804
14,varanus-cage,Oh et al.,LPIPS,0.1760936854
15,horsejump-low,Oh et al.,LPIPS,0.2250872391
16,schoolgirls,Oh et al.,LPIPS,0.3155818815
17,car-turn,Oh et al.,LPIPS,0.2054820634
18,motocross-jump,Oh et al.,LPIPS,0.1040675964
19,car-shadow,Oh et al.,LPIPS,0.1462095548
20,tennis,Oh et al.,LPIPS,0.1053613322
21,crossing,Oh et al.,LPIPS,0.2324721622
22,bus,Oh et al.,LPIPS,0.1490045398
23,motocross-bumps,Oh et al.,LPIPS,0.1364083869
24,train,Oh et al.,LPIPS,0.137943315
25,camel,Oh et al.,LPIPS,0.2117149205
26,breakdance,Oh et al.,LPIPS,0.2093436447
27,mallard-fly,Oh et al.,LPIPS,0.1500195301
28,upside-down,Oh et al.,LPIPS,0.1405591942
29,classic-car,Oh et al.,LPIPS,0.1308027277
30,gold-fish,Oh et al.,LPIPS,0.0896493519
31,bike-packing,Oh et al.,LPIPS,0.2077911792
32,paragliding-launch,Oh et al.,LPIPS,0.171933485
33,bmx-trees,Oh et al.,LPIPS,0.1425839996
34,flamingo,Oh et al.,LPIPS,0.1644708189
35,tractor-sand,Oh et al.,LPIPS,0.1984319677
36,dogs-jump,Oh et al.,LPIPS,0.131981408
37,horsejump-high,Oh et al.,LPIPS,0.1518822343
38,dog-agility,Oh et al.,LPIPS,0.1151782452
39,disc-jockey,Oh et al.,LPIPS,0.0289406352
40,hike,Oh et al.,LPIPS,0.21217274
41,miami-surf,Oh et al.,LPIPS,0.05736376482
42,dance-jump,Oh et al.,LPIPS,0.1791822074
43,lindy-hop,Oh et al.,LPIPS,0.150561778
44,tuk-tuk,Oh et al.,LPIPS,0.1418628185
45,judo,Oh et al.,LPIPS,0.1130566499
46,blackswan,Oh et al.,LPIPS,0.1702293105
47,boat,Oh et al.,LPIPS,0.1775258796
48,car-roundabout,Oh et al.,LPIPS,0.1576920472
49,loading,Oh et al.,LPIPS,0.1064927576
50,night-race,Oh et al.,LPIPS,0.08550338024
51,dancing,Oh et al.,LPIPS,0.1647073063
52,paragliding,Oh et al.,LPIPS,0.1900354812
53,kite-walk,Oh et al.,LPIPS,0.1117375766
54,libby,Oh et al.,LPIPS,0.1402217939
55,drift-turn,Oh et al.,LPIPS,0.1566832712
56,rollerblade,Oh et al.,LPIPS,0.1631490132
57,kid-football,Oh et al.,LPIPS,0.1433550719
58,drift-chicane,Oh et al.,LPIPS,0.1675575545
59,lucia,Oh et al.,LPIPS,0.2009508215
60,color-run,Oh et al.,LPIPS,0.07035917503
61,lab-coat,Oh et al.,LPIPS,0.1735681913
62,hockey,Oh et al.,LPIPS,0.117286864
63,elephant,Oh et al.,LPIPS,0.19465361
64,dog-gooses,Oh et al.,LPIPS,0.2606752502
65,planes-water,Oh et al.,LPIPS,0.08627822229
66,india,Oh et al.,LPIPS,0.08659832415
67,dog,Oh et al.,LPIPS,0.160273741
68,swing,Oh et al.,LPIPS,0.1358613933
69,kite-surf,Oh et al.,LPIPS,0.1260963185
70,mbike-trick,Oh et al.,LPIPS,0.1705991525
71,pigs,Oh et al.,LPIPS,0.1647434668
72,breakdance-flare,Oh et al.,LPIPS,0.234691957